event_on,demand_sales_eur,cogs_eur,dgm_eur,number_orders,number_orders_tracked,number_visits,marketing_cost,google_clicks,google_cost_eur,number_of_skus_with_discount,number_of_skus_with_discount_retail,number_of_skus_with_discount_closeout,number_of_skus_with_discount_own_brand,number_of_skus_with_discount_new,number_of_skus_with_discount_old,number_of_skus_with_discount_own_brand_new,number_of_skus_with_discount_own_brand_old,number_of_skus_with_discount_retail_new,number_of_skus_with_discount_retail_old,number_of_skus_with_discount_closeout_new,number_of_skus_with_discount_closeout_old,number_of_skus,number_of_skus_retail,number_of_skus_closeout,number_of_skus_own_brand,number_of_skus_new,number_of_skus_old,number_of_skus_closeout_new,number_of_skus_closeout_old,number_of_skus_own_brand_new,number_of_skus_own_brand_old,number_of_skus_retail_new,number_of_skus_retail_old,available_stock_value_after_discount_complete_eur,available_stock_value_after_discount_complete_retail_eur,available_stock_value_after_discount_complete_closeout_eur,available_stock_value_after_discount_complete_own_product_eur,available_stock_value_after_discount_complete_new_eur,available_stock_value_after_discount_complete_old_eur,available_stock_value_after_discount_complete_closeout_new_eur,available_stock_value_after_discount_complete_closeout_old_eur,available_stock_value_after_discount_complete_own_product_new_eur,available_stock_value_after_discount_complete_own_product_old_eur,available_stock_value_after_discount_complete_retail_new_eur,available_stock_value_after_discount_complete_retail_old_eur,available_stock_value_before_discount_complete_eur,available_stock_value_before_discount_complete_retail_eur,available_stock_value_before_discount_complete_closeout_eur,available_stock_value_before_discount_complete_own_product_eur,available_stock_value_before_discount_complete_new_eur,available_stock_value_before_discount_complete_old_eur,available_stock_value_before_discount_complete_closeout_new_eur,available_stock_value_before_discount_complete_closeout_old_eur,available_stock_value_before_discount_complete_own_product_new_eur,available_stock_value_before_discount_complete_own_product_old_eur,available_stock_value_before_discount_complete_retail_new_eur,available_stock_value_before_discount_complete_retail_old_eur,available_stock_value_after_discount_only_discounted_skus_eur,available_stock_value_before_discount_only_discounted_skus_eur,number_units_discounted,number_units_complete,dgm_expectation_perc,target_cpr,avg_temp,avg_temperature_degC_prev_year_avg,fraction_on_holiday,is_percentage_on_top,is_percentage_on_top_applicable,is_black_week_event,is_season_sale_event,number_days_after_last_event,number_days_till_next_event,marketing_budget,sCM,email_recipients,email_visits,is_email_campaign_type_deal,is_email_campaign_type_liveshop,is_email_campaign_type_newsletter,is_Sun_to_Mon_Shift,is_Peak_Driving_Public_Holiday,is_temp_drop_flag,internal_Week_of_SS_Season,internal_Week_of_FW_Season,internalWeeks_until_SeasonalSaleStart,internalWeeks_since_SeasonalSaleStart,sku_with_discount_%,cr_tracked_%,aov_eur,cpc,stock_discount_rate_total_%,stock_discount_rate_discounted_%,dgm_perc,cpr_perc,is_Peak_Driving_Public_Holiday_week,is_Sun_to_Mon_Shift_week
2022-01-06,3552998.45,1813212.68,1739785.77,19284.0,14245.0,618134.0,178538.1495,47166.333333333336,19906.41,102509.33333333333,92738.5,5659.0,4111.833333333333,77809.66666666667,24699.666666666668,1615.1666666666667,2496.6666666666665,75510.66666666667,17227.833333333332,683.8333333333334,4975.166666666667,174576.0,163092.16666666666,7209.5,4274.333333333333,146257.66666666666,27680.0,1161.8333333333333,6047.666666666667,1752.0,2500.3333333333335,143343.83333333334,19132.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,756532.3333333334,1082575.3333333333,,0.0473,6.1000000000000005,0.85,1.318120678,0.0,0.0,0.0,0.0,4.5,14.5,,1561247.6205000002,708844.0,25275.0,0.0,2.0,1.0,0.0,0.0,0.0,1.6666666666666667,21.666666666666668,3.3333333333333335,0.0,0.5871902972535361,0.023045164964231056,184.2459266749637,0.42204701093293945,,,0.48966690936777635,0.05024999363565723,0.0,0.0
2022-01-07,4265219.43,2185871.64,2079347.79,23063.0,17049.0,738846.0,216271.7056,48904.28571428572,20902.528571428575,103676.85714285714,93934.85714285714,5634.857142857143,4107.142857142857,79052.85714285714,24624.0,1613.142857142857,2494.0,76758.14285714286,17176.714285714286,681.5714285714286,4953.285714285715,174337.14285714287,162884.42857142858,7183.571428571428,4269.142857142857,146123.57142857142,27575.571428571428,1158.4285714285713,6025.142857142857,1749.2857142857142,2497.8571428571427,143215.85714285713,19052.571428571428,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,760033.5714285715,1080280.5714285714,,0.0473,5.3,0.7571428571428571,1.318120678,0.0,0.0,0.0,0.0,5.0,14.0,,1863076.0844,940038.0,36481.0,1.0,2.0,1.0,0.0,0.0,0.0,1.7142857142857142,21.714285714285715,3.2857142857142856,0.0,0.5946917303090891,0.023075173987542736,184.93775441182845,0.4274171121432536,,,0.48751250061711365,0.05070588023650638,0.0,0.0
2022-01-08,4670554.08,2402072.26,2268481.8200000003,25151.0,18555.0,777932.0,232745.7449,52588.28571428572,22797.57857142857,106167.71428571429,96446.85714285714,5612.571428571428,4108.285714285715,81696.28571428571,24471.428571428572,1617.7142857142858,2490.5714285714284,79396.71428571429,17050.14285714286,681.8571428571429,4930.714285714285,174016.14285714287,162591.14285714287,7158.714285714285,4266.285714285715,145965.42857142858,27413.285714285714,1158.5714285714287,6000.142857142857,1749.5714285714287,2494.714285714286,143057.2857142857,18918.428571428572,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,767299.0,1076507.0,,0.0473,4.114285714285715,0.6,0.318120678,0.0,0.0,0.0,0.0,6.0,13.0,,2035736.0751,940038.0,36481.0,1.0,2.0,1.0,0.0,0.0,0.0,1.8571428571428572,21.857142857142858,3.142857142857143,0.0,0.6101026752033678,0.02385169912023159,185.70053198679975,0.4335105862793995,,,0.4856986518396122,0.04983257680210824,0.0,0.0
2022-01-09,5063633.66,2614689.8600000003,2448943.8000000003,26970.0,19959.0,810923.0,245583.8257,55626.142857142855,24303.74,111048.85714285714,101383.57142857143,5567.0,4098.285714285715,86752.42857142857,24296.428571428572,1617.4285714285713,2480.8571428571427,84453.85714285714,16929.714285714286,681.1428571428571,4885.857142857143,172967.14285714287,161608.42857142858,7106.571428571428,4252.142857142857,145167.7142857143,27162.571428571428,1156.2857142857142,5950.285714285715,1744.857142857143,2485.285714285714,142266.57142857142,18727.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,782821.8571428572,1069934.0,,0.04718571428571428,3.2285714285714286,0.31428571428571433,0.318120678,0.0,0.0,0.0,0.0,7.0,12.0,,2203359.9743,940038.0,36481.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,22.0,3.0,0.0,0.6420228449664263,0.024612694423514932,187.75059918427883,0.43691219185223806,,,0.4836336837211087,0.048499524687178885,0.0,0.0
2022-01-10,5513198.0,2977806.26,2535391.74,28719.0,21196.0,833015.0,260204.66270000002,58516.28571428572,25718.317142857144,116208.57142857143,106612.71428571429,5512.142857142857,4083.714285714286,92136.42857142857,24072.14285714286,1613.5714285714287,2470.1428571428573,89839.57142857143,16773.14285714286,683.2857142857143,4828.857142857143,171661.42857142858,160390.2857142857,7037.428571428572,4233.714285714285,144140.2857142857,26885.285714285714,1149.7142857142858,5887.714285714285,1736.857142857143,2474.8571428571427,141253.7142857143,18522.714285714286,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,801151.0,1062817.0,,0.04707142857142858,2.185714285714286,0.0,0.318120678,0.0,0.0,0.0,0.0,8.0,11.0,,2275187.0773,940219.0,33489.0,1.0,2.0,1.0,0.0,0.0,0.0,2.142857142857143,22.142857142857142,2.857142857142857,0.0,0.6769637908507611,0.0254449199594245,191.97040286918067,0.4395069992724858,,,0.4598767793211853,0.04719668379405202,0.0,0.0
2022-01-11,5637667.0,3069545.02,2568121.9800000004,29809.0,22040.0,843153.0,271114.8937,60960.142857142855,26985.87,119363.71428571429,109817.14285714286,5471.285714285715,4075.285714285714,95502.0,23861.714285714286,1611.857142857143,2463.4285714285716,93204.0,16613.14285714286,686.1428571428571,4785.142857142857,170408.0,159201.7142857143,6984.714285714285,4221.571428571428,143122.42857142858,26650.85714285714,1144.857142857143,5839.857142857143,1731.142857142857,2468.4285714285716,140246.42857142858,18342.571428571428,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,811749.0,1056475.4285714286,,0.04695714285714286,1.2428571428571427,-0.2857142857142857,0.318120678,0.0,0.0,0.0,0.0,9.0,10.0,,2297007.0863,708761.0,25995.0,1.0,2.0,0.0,0.0,0.0,0.0,2.2857142857142856,22.285714285714285,2.7142857142857144,0.0,0.7004583956487623,0.026139976967406865,189.12633768325003,0.4426805570853087,,,0.455529207383125,0.04808990912375634,0.0,0.0
2022-01-12,5767177.89,3164960.54,2602217.35,30722.0,22736.0,852499.0,278533.5893,62745.28571428572,27927.037142857145,121901.57142857143,112388.85714285714,5442.285714285715,4070.4285714285716,98240.28571428571,23661.285714285714,1611.857142857143,2458.5714285714284,95934.71428571429,16454.14285714286,693.7142857142857,4748.571428571428,169147.0,157988.7142857143,6945.285714285715,4213.0,142064.85714285713,26448.714285714286,1146.0,5799.285714285715,1727.4285714285713,2463.5714285714284,139191.42857142858,18185.85714285714,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,819810.0,1051046.2857142857,,0.046842857142857144,0.9000000000000001,-0.24285714285714285,0.318120678,0.0,0.0,0.0,0.0,10.0,9.0,,2323683.7607,708761.0,25995.0,1.0,2.0,0.0,0.0,0.0,0.0,2.4285714285714284,22.428571428571427,2.5714285714285716,0.0,0.7206842062145438,0.026669826005661004,187.7214338259228,0.44508582318079676,,,0.45121156302671295,0.04829634088155377,0.0,0.0
2022-01-13,5815116.5,3212329.7199999997,2602786.7800000003,31392.0,23315.0,849073.0,281790.7514,63039.57142857143,28225.894285714287,124422.0,114902.85714285714,5447.714285714285,4071.4285714285716,100847.0,23575.0,1615.142857142857,2456.285714285714,98528.0,16374.857142857143,703.8571428571429,4743.857142857143,168359.0,157199.2857142857,6949.142857142857,4210.571428571428,141355.14285714287,26371.571428571428,1154.142857142857,5795.0,1727.2857142857142,2461.285714285714,138473.7142857143,18115.285714285714,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,828140.5714285715,1048530.7142857143,,0.04672857142857143,1.0857142857142859,-0.1714285714285714,0.0,0.0,0.0,0.0,0.0,11.0,8.0,,2320996.0286,709988.0,20346.0,1.0,2.0,0.0,0.0,0.0,0.0,2.5714285714285716,22.571428571428573,2.4285714285714284,0.0,0.7390279105958102,0.027459358618163572,185.2419884046891,0.44774882896683943,,,0.4475897911933493,0.048458315736236754,0.0,0.0
2022-01-14,5887878.67,3269724.74,2618153.93,31907.0,23652.0,847509.0,281475.89780000004,62859.71428571428,28071.16714285714,126788.85714285714,117245.28571428571,5474.571428571428,4069.0,103319.28571428571,23469.571428571428,1616.4285714285713,2452.5714285714284,100972.28571428571,16273.0,730.5714285714286,4744.0,167485.2857142857,156306.57142857142,6974.285714285715,4204.428571428572,140577.14285714287,26277.428571428572,1179.4285714285713,5794.857142857143,1724.857142857143,2457.5714285714284,137672.85714285713,18025.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,835968.1428571428,1045756.8571428572,,0.04661428571428572,1.342857142857143,-0.1857142857142857,0.0,0.0,0.0,0.0,0.0,12.0,7.0,,2336678.0322,711864.0,22971.0,1.0,2.0,0.0,0.0,0.0,0.0,2.7142857142857144,22.714285714285715,2.2857142857142856,0.0,0.7570149019487427,0.027907668237151465,184.53250603315885,0.44656848128940174,,,0.44466845815625483,0.047805994922106645,0.0,0.0
2022-01-15,5903183.75,3298308.68,2604875.07,32247.0,23945.0,855834.0,290497.7845,65582.0,29202.462857142855,128704.57142857143,119139.57142857143,5501.428571428572,4063.5714285714284,105308.71428571429,23395.85714285714,1614.7142857142858,2448.8571428571427,102936.71428571429,16202.857142857143,757.2857142857143,4744.142857142857,166611.57142857142,155413.85714285713,6999.428571428572,4198.285714285715,139799.14285714287,26183.285714285714,1204.7142857142858,5794.714285714285,1722.4285714285713,2453.8571428571427,136872.0,17934.714285714286,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,842303.2857142857,1042983.0,,0.0465,1.3142857142857145,-0.48571428571428577,0.0,0.0,0.0,0.0,0.0,13.0,6.0,,2314377.2855,711864.0,22971.0,1.0,2.0,0.0,0.0,0.0,0.0,2.857142857142857,22.857142857142858,2.142857142857143,0.0,0.7724827893106379,0.02797855658924511,183.06148633981456,0.44528167572112554,,,0.44126613371979145,0.04921035780056821,0.0,0.0
