,learning_rate,max_depth,min_child_weight,n_estimators
0,0.1,5,0.3,300
1,0.05,5,0.3,300
2,0.1,7,0.3,200
3,0.05,9,0.3,300
4,0.01,5,0.3,200
5,0.01,5,0.3,100
6,0.05,5,0.3,300
7,0.05,5,0.3,300
8,0.05,5,0.3,300
9,0.05,5,0.3,300
10,0.1,5,0.3,200
11,0.1,5,0.3,300
12,0.1,5,0.3,300
13,0.05,5,0.3,200
14,0.01,5,0.3,200
15,0.1,5,0.3,300
16,0.1,7,0.3,300
17,0.05,5,0.3,300
18,0.05,5,0.3,300
19,0.05,5,0.3,300
20,0.01,5,0.3,200
21,0.01,5,0.3,200
22,0.05,5,0.3,300
23,0.1,5,0.3,300
24,0.05,9,0.3,300
25,0.1,5,0.3,300
26,0.05,5,0.3,300
27,0.1,9,0.3,300
28,0.1,9,0.3,300
29,0.05,9,0.3,300
30,0.1,9,0.3,300
31,0.1,9,0.3,300
32,0.1,5,0.3,300
33,0.05,5,0.3,300
34,0.05,5,0.3,300
35,0.05,5,0.3,300
36,0.05,5,0.3,300
37,0.05,5,0.3,300
38,0.05,7,0.3,100
39,0.1,5,0.3,300
40,0.05,5,0.3,300
41,0.05,7,0.3,300
42,0.05,5,0.3,300
43,0.1,5,0.3,300
44,0.1,5,0.3,300
45,0.1,5,0.3,300
46,0.1,5,0.3,300
47,0.1,5,0.3,100
48,0.05,5,0.3,300
49,0.05,5,0.3,300
50,0.1,9,0.3,300
51,0.1,5,0.3,300
52,0.05,5,0.3,300
53,0.01,5,0.3,300
54,0.01,7,0.3,200
55,0.01,9,0.3,200
56,0.01,5,0.3,300
57,0.05,5,0.3,300
58,0.1,5,0.3,100
59,0.05,5,0.3,300
60,0.05,7,0.3,300
61,0.1,5,0.3,100
62,0.1,5,0.3,300
63,0.1,7,0.3,300
64,0.1,5,0.3,300
65,0.05,7,0.3,300
66,0.05,5,0.3,300
67,0.05,5,0.3,300
68,0.05,9,0.3,300
69,0.1,7,0.3,300
70,0.1,7,0.3,300
71,0.01,5,0.3,200
72,0.01,9,0.3,200
73,0.01,5,0.3,200
74,0.01,5,0.3,300
75,0.05,5,0.3,100
76,0.01,9,0.3,300
77,0.05,5,0.3,100
78,0.1,9,0.3,300
79,0.05,9,0.3,300
80,0.05,5,0.3,300
81,0.05,5,0.3,200
82,0.1,9,0.3,300
83,0.05,5,0.3,200
84,0.1,5,0.3,200
85,0.1,5,0.3,300
86,0.05,5,0.3,300
87,0.1,5,0.3,300
88,0.01,5,0.3,200
89,0.01,5,0.3,200
90,0.05,5,0.3,100
91,0.01,5,0.3,200
92,0.01,5,0.3,300
93,0.1,9,0.3,300
94,0.05,5,0.3,300
95,0.1,5,0.3,100
96,0.1,9,0.3,100
97,0.01,9,0.3,300
98,0.1,5,0.3,300
99,0.01,7,0.3,300
100,0.05,5,0.3,100
101,0.1,5,0.3,300
102,0.1,5,0.3,300
103,0.1,5,0.3,300
104,0.1,5,0.3,300
105,0.1,5,0.3,300
